album,era,release_date,track_number,title,duration_sec,is_bonus,energy,loudness,valence,danceability,acousticness,instrumentalness,speechiness,tempo,key,time_signature,notes
SOUR,1,2021-05-21,1,Brutal,143,False,0.526,-6.446,0.28,0.672,0.0311,1.37e-06,0.0599,123.999,4.0,,"Audio features from ReccoBeats (api.reccobeats.com), matched via Spotify track ID."
SOUR,1,2021-05-21,2,Traitor,229,False,0.339,-7.885,0.0849,0.38,0.691,0.0,0.0338,100.607,3.0,,"Audio features from ReccoBeats (api.reccobeats.com), matched via Spotify track ID."
SOUR,1,2021-05-21,3,Drivers License,242,False,0.431,-8.81,0.137,0.561,0.768,1.42e-05,0.0578,143.875,10.0,,"Audio features from ReccoBeats (api.reccobeats.com), matched via Spotify track ID."
SOUR,1,2021-05-21,4,"1 Step Forward, 3 Steps Back",163,False,0.203,-12.627,0.419,0.473,0.941,0.0,0.102,168.884,2.0,,"Audio features from ReccoBeats (api.reccobeats.com), matched via Spotify track ID."
SOUR,1,2021-05-21,5,Deja Vu,215,False,0.612,-7.222,0.178,0.442,0.584,5.7e-06,0.112,180.917,2.0,,"Audio features from ReccoBeats (api.reccobeats.com), matched via Spotify track ID."
SOUR,1,2021-05-21,6,Good 4 U,178,False,0.664,-5.044,0.688,0.563,0.335,0.0,0.154,166.928,9.0,,"Audio features from ReccoBeats (api.reccobeats.com), matched via Spotify track ID."
SOUR,1,2021-05-21,7,Enough for You,202,False,0.259,-10.706,0.269,0.638,0.753,0.0,0.0898,88.485,7.0,,"Audio features from ReccoBeats (api.reccobeats.com), matched via Spotify track ID."
SOUR,1,2021-05-21,8,Happier,175,False,0.443,-9.72,0.338,0.395,0.765,9.67e-06,0.133,168.924,6.0,,"Audio features from ReccoBeats (api.reccobeats.com), matched via Spotify track ID."
SOUR,1,2021-05-21,9,"Jealousy, Jealousy",173,False,0.575,-6.334,0.699,0.695,0.198,0.0,0.116,163.929,10.0,,"Audio features from ReccoBeats (api.reccobeats.com), matched via Spotify track ID."
SOUR,1,2021-05-21,10,Favorite Crime,152,False,0.272,-10.497,0.218,0.369,0.866,0.0,0.0364,172.929,9.0,,"Audio features from ReccoBeats (api.reccobeats.com), matched via Spotify track ID."
SOUR,1,2021-05-21,11,Hope Ur Ok,209,False,0.298,-12.181,0.172,0.443,0.388,1e-05,0.0644,77.253,0.0,,"Audio features from ReccoBeats (api.reccobeats.com), matched via Spotify track ID."
